19,16,11,8,6,18,14,16,9,18,1,12,15,5,18,3,11,17,20,4
18,15,10,7,5,12,13,6,8,9,20,1,14,4,12,2,1,16,19,3
11,3,18,15,13,20,1,14,16,17,8,19,2,11,5,10,8,4,7,11
14,11,6,3,16,8,9,2,4,5,16,7,10,20,13,18,17,12,15,19
14,1,16,13,11,18,19,12,14,15,6,17,20,10,3,8,7,2,5,9
7,4,19,12,14,8,2,15,17,18,9,20,3,13,6,11,10,5,8,12
13,10,5,2,20,7,8,1,3,4,15,6,9,19,12,17,16,11,14,18
17,14,9,6,15,11,6,5,7,13,19,10,13,3,16,1,20,15,18,2
5,2,6,14,12,5,20,13,15,16,7,18,1,11,6,9,8,3,6,12
16,13,8,5,3,10,11,4,6,7,18,9,12,2,15,20,17,14,17,1
8,5,20,17,15,2,3,16,18,19,10,1,4,14,7,12,11,4,9,13
15,10,7,4,13,9,10,3,5,6,17,8,11,1,14,19,18,13,16,1
20,17,9,9,7,14,15,8,10,11,2,13,16,6,7,4,3,18,1,5
1,18,13,10,8,15,16,9,14,12,3,14,17,7,20,5,4,19,1,6
3,20,15,12,10,17,18,11,13,14,5,16,19,9,2,7,6,17,4,12
2,19,14,11,2,16,17,10,12,13,4,15,18,8,1,6,5,20,3,7
6,9,10,1,19,6,11,20,2,3,14,5,8,18,11,16,15,10,13,17
10,7,2,19,17,4,5,18,20,1,7,3,6,16,9,14,13,7,11,15
11,8,3,20,18,5,6,19,1,8,13,4,7,17,10,15,14,9,12,17
9,6,1,18,16,3,4,17,19,20,11,2,1,15,8,13,12,7,10,14
