4,13,2,14,11,20,17,5,10,6,12,19,16,3,7,8,1,9,15,20
1,10,19,11,8,15,14,2,7,3,9,16,2,20,4,5,18,6,12,17
5,14,3,15,12,19,6,6,11,7,14,20,17,5,8,9,2,8,16,1
13,2,11,3,20,7,6,14,19,15,1,8,5,12,16,17,10,18,4,9
14,3,12,5,1,8,7,15,20,16,2,19,6,13,17,18,11,19,5,10
9,18,7,19,16,3,2,10,15,11,17,4,1,8,12,20,6,14,20,5
7,16,5,17,14,1,4,8,13,9,14,2,19,6,10,11,4,12,18,3
12,1,10,20,19,6,5,13,18,14,20,7,9,11,17,16,9,17,3,8
17,6,15,7,4,11,10,18,9,19,5,12,9,16,20,1,14,9,8,13
2,5,14,6,3,10,9,17,2,18,4,6,8,15,19,20,13,1,7,6
8,11,6,18,4,2,1,9,10,10,16,3,20,6,11,17,5,13,19,4
3,12,1,13,10,17,16,4,9,5,11,18,15,2,6,7,20,8,14,19
15,18,13,5,2,9,8,16,1,17,3,10,7,14,18,19,12,20,6,14
20,9,18,9,7,14,13,1,6,2,8,15,12,12,3,4,9,5,11,16
11,20,9,1,18,5,4,12,17,13,19,6,3,10,14,9,8,16,2,7
18,7,16,10,5,12,11,19,4,20,6,13,10,17,1,2,15,3,9,14
6,15,4,16,13,20,19,7,12,8,14,5,18,5,9,10,3,11,17,2
19,8,17,9,6,2,12,20,11,1,8,14,11,18,2,3,16,4,10,15
12,11,20,12,9,16,15,15,8,4,10,16,14,1,5,6,19,7,13,18
10,19,8,20,17,4,16,11,16,12,18,5,2,9,13,14,8,15,1,6
