8,9,2,12,14,6,4,10,15,4,13,1,16,7,3,19,5,20,12,17
2,3,16,5,8,20,10,4,9,12,7,15,10,1,9,13,19,14,6,11
11,5,5,14,17,9,7,5,18,1,16,4,19,10,6,2,8,3,15,17
7,8,1,10,20,5,3,9,14,17,12,20,15,6,2,18,4,19,11,16
5,19,19,8,11,3,1,7,12,15,10,18,13,4,20,16,2,17,9,14
4,5,18,15,10,3,20,6,11,14,9,17,12,3,19,15,1,16,8,13
18,19,12,1,4,16,20,20,5,8,7,11,6,17,13,9,15,18,2,7
20,1,1,3,6,18,16,2,7,19,5,13,8,19,15,9,17,12,4,9
16,3,10,13,2,14,1,18,3,6,1,9,4,15,11,7,13,19,20,4
19,20,13,2,5,17,15,1,6,9,4,12,7,18,14,10,16,11,3,8
9,10,3,12,15,7,5,11,16,19,14,2,17,8,4,20,6,1,13,18
14,15,8,17,20,12,10,16,1,4,16,7,16,13,9,5,11,6,18,5
10,11,4,13,16,8,6,12,6,20,15,3,18,7,5,1,7,2,14,19
3,4,17,6,9,1,19,5,10,13,8,14,11,2,18,14,20,15,7,12
11,16,9,7,1,14,11,17,2,5,20,8,3,14,10,6,12,7,8,4
17,18,11,20,3,15,13,19,11,7,2,10,6,16,12,8,14,9,1,6
12,13,6,15,18,10,8,10,19,2,1,5,20,11,7,3,9,4,16,1
6,7,20,9,12,4,2,8,13,16,11,19,14,5,1,17,3,18,10,15
1,2,15,4,7,19,15,3,8,17,6,14,9,20,16,12,18,13,5,10
13,14,7,16,19,3,9,15,5,3,18,6,1,12,8,4,10,5,17,2
