5,12,13,1,6,11,14,10,9,2,16,7,17,16,3,18,4,8,15,19
10,6,18,6,11,16,19,15,14,7,1,12,2,5,8,3,9,13,20,2
1,8,12,17,2,7,4,6,5,18,12,3,13,16,5,14,20,4,11,15
16,3,4,12,17,2,5,1,20,13,7,1,8,2,14,9,15,4,6,10
7,14,15,3,8,13,16,12,11,4,18,9,19,2,5,20,6,10,17,12
13,13,14,2,7,12,15,11,10,3,17,8,18,1,4,20,5,9,16,20
13,20,1,9,6,19,2,19,17,10,6,15,5,8,11,6,12,16,3,7
2,9,10,18,3,8,11,7,6,19,13,4,14,17,20,15,6,5,12,16
14,1,2,10,15,20,6,19,18,17,5,16,6,9,12,7,13,17,4,8
20,7,8,16,17,6,9,5,4,17,11,4,12,19,18,13,19,3,20,14
11,18,19,12,12,11,20,16,15,8,2,13,3,6,9,4,10,14,1,5
17,1,5,13,18,3,6,2,8,14,8,19,9,12,15,10,16,10,7,11
19,6,7,15,20,5,8,4,3,6,10,1,11,14,17,12,16,2,9,13
8,15,16,4,9,12,17,13,12,5,19,10,20,3,6,1,7,11,18,2
12,19,20,8,13,18,1,17,16,9,19,14,4,7,8,5,11,15,2,6
15,2,3,11,16,1,4,20,19,12,6,17,7,10,13,8,14,18,5,9
18,5,6,14,19,4,7,3,9,15,9,20,10,13,6,11,17,1,8,5
4,11,12,20,5,10,4,9,8,1,15,6,3,19,2,17,3,7,18,18
3,10,11,19,4,9,12,8,7,20,12,5,15,18,1,16,2,6,13,17
9,16,17,5,9,15,18,14,13,6,20,11,1,4,7,2,8,12,19,3
