8,17,10,2,12,18,12,11,1,15,15,13,19,9,4,20,7,7,6,14
18,20,13,5,15,5,8,14,4,18,6,4,2,12,7,3,5,19,9,17
19,8,1,13,3,9,16,2,12,6,14,4,10,20,15,2,18,17,17,5
12,1,14,6,14,2,4,15,5,19,7,17,7,13,8,4,11,20,6,18
15,12,17,9,19,5,12,18,15,2,10,20,6,16,11,5,14,3,13,1
4,13,1,18,7,14,1,7,17,11,19,12,15,8,20,16,14,12,19,10
18,7,20,12,2,8,15,17,11,5,10,3,14,19,14,10,17,6,16,6
2,11,4,16,6,7,19,5,9,9,17,7,13,3,19,14,1,10,12,8
10,19,12,11,14,20,7,16,3,10,5,15,5,11,6,11,9,18,8,16
14,3,2,8,18,4,11,17,7,1,9,8,5,15,10,6,13,2,12,20
1,10,3,16,5,11,18,4,14,8,7,6,12,20,17,13,20,9,13,7
6,14,8,20,10,9,3,9,19,17,1,20,17,7,9,18,5,17,4,12
17,6,3,11,1,7,14,6,10,4,12,2,8,18,13,8,16,5,15,6
16,8,18,10,8,6,2,19,7,3,18,1,7,17,6,8,15,19,14,2
3,12,5,5,7,13,20,6,16,10,18,8,12,4,19,15,2,11,6,9
7,10,9,1,11,17,4,10,19,14,7,12,18,8,3,19,18,15,5,13
20,9,2,14,11,10,17,10,13,18,15,5,11,1,13,12,19,8,18,6
9,18,4,3,13,14,6,12,2,16,4,14,17,10,5,1,9,17,7,6
13,2,15,7,19,3,10,16,6,20,9,18,4,14,9,5,12,1,11,19
5,14,7,20,9,15,2,8,14,12,20,7,16,6,1,16,4,13,3,11
